model,category,light,filename,question,ground_truth,prediction,is_correct
qwen2vl,Object Description,day,Sequence_Day_13_frame_6960.jpg,"What class is the object at bounding box [632.72705078125, 324.52856445312506, 785.8992919921875, 440.0799560546875]?",car,truck,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_7440.jpg,What is the color of the truck in the image?,gray,orange,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_2160.jpg,What is the color of the motorcycle in the image?,gray,gray,True
qwen2vl,Object Description,day,Sequence_Day_15_frame_4770.jpg,"What class is the object at bounding box [781.3703613281251, 380.16851806640625, 871.4678955078125, 544.9901123046875]?",rider,motorcycle,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_2850.jpg,What is the color of the motorcycle in the image?,darkslategray,yellow,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_9600.jpg,What is the color of the car in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_2580.jpg,What is the color of the car in the image?,dimgray,blue,False
qwen2vl,Object Description,day,Sequence_Day_8_frame_1650.jpg,What is the color of the motorcycle in the image?,darkslategray,green,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_2100.jpg,"What class is the object at bounding box [645.7692307692307, 464.2307692307692, 668.076923076923, 491.9230769230769]?",motorcycle,car,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_2760.jpg,What is the color of the motorcycle in the image?,gray,orange,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_2610.jpg,What is the color of the motorcycle in the image?,dimgray,orange,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_4770.jpg,What is the color of the rickshaw in the image?,gray,black,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_2670.jpg,What is the color of the car in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_3570.jpg,What is the color of the traffic sign in the image?,lightslategray,blue,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_10470.jpg,What is the color of the car in the image?,dimgray,silver,False
qwen2vl,Object Description,day,Sequence_Day_11_frame_570.jpg,What is the color of the car in the image?,brown,red,False
qwen2vl,Object Description,day,Sequence_Day_15_frame_1230.jpg,"What class is the object at bounding box [694.4871215820314, 358.85467529296875, 779.1018676757812, 432.7958984375]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_13_frame_3270.jpg,"What class is the object at bounding box [337.46697998046875, 389.4770202636718, 397.643798828125, 465.7346496582031]?",motorcycle,motorcycle,True
qwen2vl,Object Description,day,Sequence_Day_13_frame_6960.jpg,What is the color of the car in the image?,dimgray,red,False
qwen2vl,Object Description,day,Sequence_Day_15_frame_2670.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_7110.jpg,"What class is the object at bounding box [633.0613403320312, 387.1529541015625, 699.0281372070312, 449.494873046875]?",car,motorcycle,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_2910.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_2850.jpg,What is the color of the car in the image?,dimgray,blue,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_4260.jpg,"What class is the object at bounding box [494.08074951171875, 380.9356079101562, 574.4850463867188, 452.69287109375]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_330.jpg,"What class is the object at bounding box [60.966423034667976, 379.62414550781256, 307.77198028564453, 491.0074462890625]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_14340.jpg,"What class is the object at bounding box [620.3846153846154, 392.6923076923077, 668.8461538461538, 440.3846153846154]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_4320.jpg,What is the color of the motorcycle in the image?,gray,black,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_2280.jpg,"What class is the object at bounding box [152.753662109375, 245.60107421874997, 170.52047729492188, 286.18798828125]?",traffic light,car,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_2850.jpg,What is the color of the motorcycle in the image?,dimgray,orange,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_3720.jpg,What is the color of the motorcycle in the image?,darkslategray,black,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_2010.jpg,"What class is the object at bounding box [845.0387596899225, 309.6124031007752, 865.1937984496125, 348.37209302325584]?",car,truck,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_3180.jpg,"What class is the object at bounding box [579.2236938476562, 343.67062377929693, 639.9259643554688, 394.26766967773443]?",car,motorcycle,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_6720.jpg,What is the color of the motorcycle in the image?,darkslategray,red,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_13020.jpg,"What class is the object at bounding box [753.2510375976562, 385.5702514648437, 988.0073852539061, 564.1683349609375]?",car,sign,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_8280.jpg,"What class is the object at bounding box [2.824928283691408, 393.94369506835943, 43.202293395996094, 466.9413146972656]?",person,tricycle,False
qwen2vl,Object Description,day,Sequence_Day_14_frame_3510.jpg,What is the color of the truck in the image?,dimgray,red,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_120.jpg,"What class is the object at bounding box [361.6687316894531, 358.9247131347656, 397.2918395996094, 445.0185241699218]?",person,car,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_4980.jpg,What is the color of the truck in the image?,gray,white,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_8100.jpg,What is the color of the truck in the image?,darkolivegreen,yellow,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_9120.jpg,What is the color of the person in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_8310.jpg,What is the color of the traffic sign in the image?,darkolivegreen,red,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_14700.jpg,What is the color of the car in the image?,darkslategray,black,False
qwen2vl,Object Description,day,Sequence_Day_8_frame_720.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_660.jpg,What is the color of the car in the image?,lightslategray,white,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_180.jpg,"What class is the object at bounding box [644.6568603515625, 380.7048797607422, 800.7100830078126, 494.4278106689453]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_600.jpg,"What class is the object at bounding box [259.7308349609375, 373.32794189453125, 309.6494140625, 501.28308105468744]?",person,car,False
qwen2vl,Object Description,day,Sequence_Day_11_frame_270.jpg,"What class is the object at bounding box [1053.5658914728683, 381.70542635658916, 1096.2015503875969, 466.9767441860465]?",person,motorcycle,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_12420.jpg,"What class is the object at bounding box [687.55517578125, 408.05239868164057, 713.0057373046875, 445.7334899902343]?",motorcycle,motorcycle,True
qwen2vl,Object Description,day,Sequence_Day_13_frame_8370.jpg,"What class is the object at bounding box [628.076923076923, 272.69230769230774, 654.2307692307692, 298.84615384615387]?",traffic light,truck,False
qwen2vl,Object Description,day,Sequence_Day_17_frame_3120.jpg,"What class is the object at bounding box [722.4794311523438, 364.0103149414063, 759.4483032226561, 446.38677978515625]?",person,person,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_7200.jpg,"What class is the object at bounding box [790.9500122070312, 394.0466003417969, 893.3771362304688, 475.8945007324219]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_14_frame_5220.jpg,What is the color of the motorcycle in the image?,darkslategray,black,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_7020.jpg,What is the color of the truck in the image?,gray,yellow,False
qwen2vl,Object Description,day,Sequence_Day_9_frame_2100.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_7080.jpg,"What class is the object at bounding box [715.3516845703125, 376.906982421875, 841.415283203125, 469.7211303710937]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_13_frame_2340.jpg,What is the color of the rider in the image?,darkslategray,red,False
qwen2vl,Object Description,day,Sequence_Day_13_frame_5610.jpg,What is the color of the motorcycle in the image?,darkolivegreen,red,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_12900.jpg,What is the color of the motorcycle in the image?,dimgray,black,False
qwen2vl,Object Description,day,Sequence_Day_18_frame_11040.jpg,"What class is the object at bounding box [654.869873046875, 375.48638916015625, 713.5301513671875, 420.03863525390625]?",car,car,True
qwen2vl,Object Description,day,Sequence_Day_18_frame_7380.jpg,"What class is the object at bounding box [411.9230769230769, 384.2307692307692, 456.9173889160156, 453.0338439941406]?",rickshaw,car,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1080.jpg,What is the color of the motorcycle in the image?,lightgray,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4920.jpg,What is the color of the motorcycle in the image?,gray,red,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4290.jpg,What is the color of the person in the image?,dimgray,unknown,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_9780.jpg,"What class is the object at bounding box [229.61113739013672, 390.423095703125, 429.27344512939453, 529.872314453125]?",car,bus,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_6930.jpg,"What class is the object at bounding box [587.552734375, 379.99327087402344, 793.3289794921875, 675.7256011962891]?",motorcycle,motorcycle,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_3300.jpg,"What class is the object at bounding box [736.4818725585939, 382.4595642089843, 761.4671020507812, 460.5118103027344]?",person,car,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_8310.jpg,What is the color of the bus in the image?,silver,white,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_3990.jpg,"What class is the object at bounding box [783.4615384615383, 372.6923076923077, 824.2307692307692, 456.53846153846155]?",rider,car,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_840.jpg,What is the color of the car in the image?,darkgray,white,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_3810.jpg,What is the color of the rider in the image?,dimgray,unknown,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_11790.jpg,"What class is the object at bounding box [353.15850830078125, 362.10662841796875, 462.1928100585938, 555.5070190429688]?",rider,bus,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_3450.jpg,What is the color of the car in the image?,darkslategray,blue,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_540.jpg,"What class is the object at bounding box [622.6565551757812, 297.23780822753906, 799.0460815429688, 514.5879974365234]?",truck,truck,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_1320.jpg,"What class is the object at bounding box [1074.2307692307693, 389.61538461538464, 1175.0, 588.0769230769231]?",motorcycle,motorcycle,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_4920.jpg,"What class is the object at bounding box [527.3076923076923, 441.9230769230769, 602.6923076923076, 485.76923076923083]?",motorcycle,car,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_5100.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_4740.jpg,What is the color of the rider in the image?,rosybrown,red,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_4140.jpg,"What class is the object at bounding box [815.185791015625, 385.96441650390625, 907.18896484375, 480.76324462890625]?",motorcycle,person,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_5700.jpg,What is the color of the motorcycle in the image?,darkslategray,red,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_2340.jpg,What is the color of the car in the image?,palevioletred,red,True
qwen2vl,Object Description,night,Sequence_Night_12_frame_11880.jpg,"What class is the object at bounding box [289.5852966308594, 352.03021240234375, 447.9638977050781, 462.01171874999994]?",bus,bus,True
qwen2vl,Object Description,night,Sequence_Night_8_frame_6990.jpg,What is the color of the person in the image?,lightslategray,unknown,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_3330.jpg,"What class is the object at bounding box [317.3076923076923, 317.3076923076923, 345.0, 350.3846153846154]?",traffic sign,street light,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_10020.jpg,What is the color of the car in the image?,silver,white,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_5130.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_3720.jpg,"What class is the object at bounding box [115.0, 277.3076923076923, 350.38461538461536, 505.0]?",truck,tractor,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1050.jpg,"What class is the object at bounding box [487.4903517503004, 376.6779597355769, 565.7692307692307, 436.53846153846155]?",rickshaw,car,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_2670.jpg,"What class is the object at bounding box [309.61538461538464, 419.61538461538464, 391.9230769230769, 500.38461538461536]?",rickshaw,truck,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_2280.jpg,"What class is the object at bounding box [768.2081909179688, 370.66540527343744, 967.7954711914061, 502.04003906250006]?",car,street sign,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1050.jpg,What is the color of the rickshaw in the image?,rosybrown,yellow,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_0.jpg,"What class is the object at bounding box [736.5384615384614, 408.0769230769231, 760.3846153846154, 439.61538461538464]?",animal,car,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4440.jpg,"What class is the object at bounding box [2.9048814039963915, 292.11317443847656, 323.3315171461839, 554.8033294677734]?",bus,street light,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_5400.jpg,"What class is the object at bounding box [1169.0494384765625, 432.23602294921875, 1232.0745849609375, 555.1148071289062]?",person,building,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_4200.jpg,"What class is the object at bounding box [89.19749450683594, 364.706298828125, 212.26353454589844, 431.6416625976562]?",car,object,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1740.jpg,What is the color of the headlight in the image?,seashell,white,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_6480.jpg,"What class is the object at bounding box [67.75598144531251, 385.6524200439453, 343.97607421875, 577.2236785888672]?",motorcycle,motorcycle,True
qwen2vl,Object Description,night,Sequence_Night_16_frame_5070.jpg,"What class is the object at bounding box [1158.8461538461538, 360.3846153846154, 1183.4615384615386, 408.84615384615387]?",person,building,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_9810.jpg,"What class is the object at bounding box [569.01123046875, 349.96539306640625, 670.092041015625, 456.54931640625006]?",bus,car,False
qwen2vl,Object Description,night,Sequence_Night_13_frame_1380.jpg,"What class is the object at bounding box [452.6923076923077, 385.7692307692308, 485.7692307692308, 402.6923076923077]?",truck,car,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_1950.jpg,"What class is the object at bounding box [714.2307692307692, 311.1538461538462, 825.7692307692307, 389.61538461538464]?",traffic sign,car,False
qwen2vl,Object Description,night,Sequence_Night_13_frame_1380.jpg,What is the color of the truck in the image?,sienna,red,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_810.jpg,"What class is the object at bounding box [185.12195121951223, 352.2764227642276, 329.0243902439025, 637.6422764227642]?",rider,car,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_5220.jpg,"What class is the object at bounding box [668.6609497070312, 357.3912963867187, 836.7837524414062, 446.5441284179687]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_16_frame_5130.jpg,"What class is the object at bounding box [910.631591796875, 352.6045837402344, 1082.9146728515625, 458.0004577636719]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_1170.jpg,"What class is the object at bounding box [1098.7703857421875, 347.61637878417963, 1211.4979248046875, 591.2416534423828]?",person,person,True
qwen2vl,Object Description,night,Sequence_Night_16_frame_1860.jpg,"What class is the object at bounding box [791.1538461538461, 313.46153846153845, 811.1538461538461, 338.0769230769231]?",traffic sign,street light,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_8670.jpg,What is the color of the traffic light in the image?,cadetblue,green,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_6330.jpg,What is the color of the rider in the image?,darkslategray,red,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_2880.jpg,What is the color of the motorcycle in the image?,silver,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_30.jpg,"What class is the object at bounding box [718.076923076923, 403.46153846153845, 753.4615384615383, 445.7692307692308]?",animal,dog,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_3270.jpg,"What class is the object at bounding box [1035.0, 266.53846153846155, 1238.8461538461538, 401.1538461538462]?",truck,street light,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_9810.jpg,What is the color of the bus in the image?,silver,white,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_2340.jpg,What is the color of the truck in the image?,darkslategray,white,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_5310.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_6870.jpg,"What class is the object at bounding box [145.0, 285.7692307692308, 188.84615384615384, 373.46153846153845]?",person,motorcycle,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_4980.jpg,What is the color of the car in the image?,gray,white,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_1290.jpg,"What class is the object at bounding box [999.6153846153845, 418.0769230769231, 1068.8461538461538, 507.30769230769226]?",headlight,motorcycle,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_1350.jpg,"What class is the object at bounding box [590.1293334960938, 356.0172729492188, 740.1389770507812, 460.45025634765625]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_12_frame_1860.jpg,What is the color of the car in the image?,darkgray,white,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_2340.jpg,"What class is the object at bounding box [871.9230769230769, 124.23076923076923, 1274.2307692307693, 585.7692307692308]?",truck,tanker,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1920.jpg,What is the color of the car in the image?,dimgray,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_2460.jpg,What is the color of the headlight in the image?,floralwhite,white,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_6570.jpg,"What class is the object at bounding box [314.32275390625, 400.97497558593756, 373.35986328124994, 538.0363159179688]?",person,motorcycle,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_1560.jpg,What is the color of the motorcycle in the image?,dimgray,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4770.jpg,What is the color of the bus in the image?,dimgray,blue,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_2040.jpg,"What class is the object at bounding box [895.7692307692307, 510.38461538461536, 1059.6153846153848, 613.4615384615385]?",animal,dog,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4410.jpg,"What class is the object at bounding box [1.174148559570316, 355.4689331054687, 129.3748321533203, 620.43798828125]?",car,van,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_150.jpg,"What class is the object at bounding box [773.5430908203125, 381.6798400878907, 809.3045654296875, 408.5572814941406]?",car,dog,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4290.jpg,"What class is the object at bounding box [33.46153846153846, 404.2307692307692, 81.15384615384615, 508.8461538461538]?",person,tricycle,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_10800.jpg,"What class is the object at bounding box [166.514404296875, 394.04907226562494, 450.5211181640625, 578.5877075195312]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_12_frame_8580.jpg,"What class is the object at bounding box [1168.8461538461538, 436.53846153846155, 1259.6153846153848, 485.76923076923083]?",motorcycle,ambulance,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1200.jpg,What is the color of the car in the image?,dimgray,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4080.jpg,"What class is the object at bounding box [298.84615384615387, 344.2307692307692, 339.61538461538464, 398.0769230769231]?",traffic sign,bus,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_3180.jpg,What is the color of the traffic sign in the image?,gray,yellow,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_5010.jpg,"What class is the object at bounding box [354.2307692307692, 376.53846153846155, 405.0, 443.46153846153845]?",person,motorcycle,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_1170.jpg,What is the color of the motorcycle in the image?,darkslategray,black,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_3750.jpg,What is the color of the truck in the image?,darkgray,red,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_10050.jpg,"What class is the object at bounding box [591.7575073242188, 349.0421142578125, 678.9586791992188, 450.6587524414063]?",bus,car,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_12090.jpg,What is the color of the car in the image?,rosybrown,silver,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4530.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_2100.jpg,What is the color of the person in the image?,rosybrown,white,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_150.jpg,What is the color of the car in the image?,gray,black,False
qwen2vl,Object Description,night,Sequence_Night_13_frame_1110.jpg,"What class is the object at bounding box [568.1929931640625, 391.16818237304693, 619.2469482421875, 429.6998596191406]?",truck,car,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_3120.jpg,What is the color of the traffic light in the image?,peru,red,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_3900.jpg,"What class is the object at bounding box [212.3360366821289, 392.08253479003906, 275.38545989990234, 547.8317718505859]?",person,car,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_2160.jpg,"What class is the object at bounding box [906.7364501953125, 377.7157897949219, 957.0295410156251, 467.4112243652344]?",rider,car,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_6840.jpg,What is the color of the motorcycle in the image?,darkolivegreen,blue,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_5010.jpg,What is the color of the motorcycle in the image?,dimgray,red,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_3660.jpg,What is the color of the person in the image?,lightgray,yellow,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_4950.jpg,"What class is the object at bounding box [1148.076923076923, 387.3076923076923, 1178.076923076923, 425.7692307692308]?",motorcycle,building,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_5040.jpg,What is the color of the person in the image?,darkslategray,unknown,False
qwen2vl,Object Description,night,Sequence_Night_8_frame_4530.jpg,"What class is the object at bounding box [193.18011474609375, 373.8878784179687, 404.19580078124994, 516.8607788085938]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_4050.jpg,"What class is the object at bounding box [875.7692307692307, 373.46153846153845, 973.4615384615383, 445.0]?",truck,truck,True
qwen2vl,Object Description,night,Sequence_Night_8_frame_5130.jpg,"What class is the object at bounding box [354.675308227539, 372.52838134765625, 515.7674407958984, 449.49145507812506]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_17_frame_4380.jpg,What is the color of the motorcycle in the image?,dimgray,black,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_3450.jpg,"What class is the object at bounding box [963.384521484375, 366.3345794677734, 1278.21923828125, 596.3420562744141]?",car,car,True
qwen2vl,Object Description,night,Sequence_Night_13_frame_30.jpg,"What class is the object at bounding box [425.0, 416.53846153846155, 444.2307692307692, 437.3076923076923]?",motorcycle,truck,False
qwen2vl,Object Description,night,Sequence_Night_16_frame_2580.jpg,What is the color of the headlight in the image?,snow,white,False
qwen2vl,Object Description,night,Sequence_Night_17_frame_4710.jpg,"What class is the object at bounding box [812.6923076923076, 441.1538461538462, 894.9999999999999, 484.2307692307693]?",motorcycle,person,False
qwen2vl,Object Description,night,Sequence_Night_12_frame_11910.jpg,What is the color of the car in the image?,dimgray,white,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_11310.jpg,What time of day is it?,night,daytime.,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_4830.jpg,What is the traffic density?,Moderate,low,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_8940.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_13_frame_6120.jpg,What is the traffic density?,Moderate,moderate,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_180.jpg,What time of day is it?,day,day,True
qwen2vl,Surrounding Description,day,Sequence_Day_13_frame_7650.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_9_frame_3330.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_13980.jpg,What is the traffic density?,Low,low,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_10800.jpg,What is the traffic density?,Low,low,True
qwen2vl,Surrounding Description,day,Sequence_Day_17_frame_660.jpg,What is the traffic density?,Low,low,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_12330.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_14_frame_1680.jpg,What is the traffic density?,High,moderate,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_12000.jpg,What is the traffic density?,Moderate,moderate,True
qwen2vl,Surrounding Description,day,Sequence_Day_9_frame_5490.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_13_frame_4740.jpg,What is the traffic density?,Low,moderate,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_3270.jpg,What is the traffic density?,High,low,False
qwen2vl,Surrounding Description,day,Sequence_Day_9_frame_1200.jpg,What is the traffic density?,Moderate,moderate,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_2520.jpg,What is the traffic density?,Moderate,moderate,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_10350.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_11_frame_3180.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_14_frame_4920.jpg,What is the traffic density?,High,moderate,False
qwen2vl,Surrounding Description,day,Sequence_Day_11_frame_2970.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_9_frame_3360.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_17_frame_3900.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_15_frame_300.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_8_frame_1320.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_14040.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_10050.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_17_frame_4230.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_14_frame_120.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_8250.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_8_frame_1470.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_13_frame_3510.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_9_frame_2730.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_13380.jpg,What is the traffic density?,Low,low,True
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_2910.jpg,What time of day is it?,dusk/dawn,daytime.,False
qwen2vl,Surrounding Description,day,Sequence_Day_14_frame_180.jpg,What is the traffic density?,High,moderate,False
qwen2vl,Surrounding Description,day,Sequence_Day_18_frame_12570.jpg,What time of day is it?,day,daytime.,True
qwen2vl,Surrounding Description,day,Sequence_Day_17_frame_30.jpg,What is the traffic density?,Low,low,True
qwen2vl,Surrounding Description,day,Sequence_Day_11_frame_60.jpg,What is the traffic density?,High,heavy,False
